p_bat,player_name
43307,Tanvir Ahmed
43363,Taufeeq Umar
43515,Usman Mushtaq
43524,Umar Gul
43590,Wahab Riaz
43650,Mohammad Yousuf
43652,Younis Khan
43654,Yasir Arafat
43656,Yasir Hameed
43685,Yasir Shah
43726,Zahid Hussain
43735,Zahid Shah
43751,Zeeshan Siddiqi
43776,Zaheer Maqsood
43860,Zulqarnain Haider
43871,Zulfiqar Babar
43906,Hashim Amla
44014,John Anderson
44024,Adam Bacher
44089,Gulam Bodi
44091,Nicky Boje
44098,Loots Bosman
44102,Andre Botha
44111,Mark Boucher
44149,Johan Botha
44407,Wesley Barresi
44410,Farhaan Behardien
44493,Neil Carter
44708,Boeta Dippenaar
44752,Henry Davids
44828,Faf du Plessis
44851,Con de Lange
44932,Jean-Paul Duminy
44936,AB de Villiers
44956,Grant Elliott
45224,Herschelle Gibbs
45396,Andrew Hall
45705,Colin Ingram
45789,Jacques Kallis
45797,Justin Kemp
45888,Garnett Kruger
45949,Rory Kleinveldt
45963,Charl Langeveldt
46075,Johann Louw
46208,Neil McKenzie
46248,Albie Morkel
46393,Ryan McLaren
46538,Morne Morkel
46569,Andre Nel
46592,Makhaya Ntini
46681,Justin Ontong
46750,Robin Peterson
46774,Shaun Pollock
46788,Ashwell Prince
46797,Andrew Puttick
46934,Alviro Petersen
46942,Aaron Phangiso
46945,Vernon Philander
47015,Jacques Rudolph
47232,Billy Stelling
47270,Graeme Smith
47492,Dale Steyn
47539,Roger Telemachus
47623,Jonathan Trott
47660,Ryan ten Doeschate
47663,Thandi Tshabalala
47666,Lonwabo Tsotsobe
47693,Johan van der Wath
47711,Morne van Wyk
47846,Vaughn van Jaarsveld
47850,Roelof van der Merwe
48112,Monde Zondeki
48122,Russel Arnold
48124,Marvan Atapattu
48139,Ishara Amerasinghe
48284,Malinga Bandara
48321,Indika Batuwitarachchi
48369,Upul Chandana
48472,Tillakaratne Dilshan
48487,Dilhara Lokuhettige
48835,Dilhara Fernando
48967,Hasantha Fernando
49008,Akalanka Ganegama
49010,Avishka Gunawardene
49013,Manjula Guruge
49178,Rangana Herath
49209,Sanath Jayasuriya
49236,Prasanna Jayawardene
49289,Mahela Jayawardene
49363,Thilina Kandamby
49477,Kosala Kulasekara
49535,Nuwan Kulasekara
49557,Kaushal Lokuarachchi
49619,Suranga Lakmal
49633,Jehan Mubarak
49636,Muthiah Muralidaran
49638,Farveez Maharoof
49677,Thilan Thushara
49700,Jeevan Mendis
49758,Lasith Malinga
49764,Angelo Mathews
49868,Muthumudalige Pushpakumara
49870,Ruchira Perera
49920,Dilruwan Perera
50163,Dhammika Prasad
50205,Malinda Pushpakumara
50424,Thilan Samaraweera
50431,Chamara Silva
50438,Suraj Randiv
50460,Shadeep Silva
50710,Kumar Sangakkara
50747,Upul Tharanga
50802,Mahela Udawatte
50804,Chaminda Vaas
50809,Michael Vandort
50860,Kaushalya Weeraratne
50874,Malinda Warnapura
51019,Chanaka Welegedara
51050,Nuwan Zoysa
51232,Courtney Browne
51246,Ian Bradshaw
51248,Sulieman Benn
51258,Omari Banks
51292,Deighton Butler
51300,David Bernard
51431,Lionel Baker
51436,Tino Best
51437,Patrick Browne
51439,Dwayne Bravo
51446,Carlton Baugh
51469,Shivnarine Chanderpaul
51479,Pedro Collins
51481,Corey Collymore
51488,Anderson Cummins
51492,Sewnarine Chattergoon
51651,Mervyn Dillon
51659,Narsingh Deonarine
51660,Travis Dowlin
51738,Sunil Dhaniram
51739,Damodar Daesrath
51782,Fidel Edwards
51784,Rayad Emrit
51786,Kirk Edwards
51862,Andre Fletcher
51865,Shawn Findlay
51872,Daren Ganga
51880,Chris Gayle
52057,Wavell Hinds
52197,Danza Hyatt
52206,Sylvester Joseph
52280,Leon Johnson
52294,Reon King
52300,Eion Katchay
52337,Brian Lara
52343,Rawl Lewis
52413,Jermaine Lawson
52445,Runako Morton
52490,Dave Mohammed
52622,Nikita Miller
52626,Xavier Marshall
52681,Ricardo Powell
52687,Brenton Parchment
52790,Daren Powell
52808,Floyd Reifer
52833,Dale Richards
52912,Ravi Rampaul
52913,Ryan Ramdass
52917,Denesh Ramdin
52918,Austin Richards
52962,Devon Smith
52969,Ramnaresh Sarwan
52983,Marlon Samuels
53115,Daren Sammy
53116,Lendl Simmons
53118,Dwayne Smith
53153,Gavin Tonge
53191,Jerome Taylor
55259,Andy Blignaut
55269,Gary Brent
55307,Stuart Carlisle
55329,Charles Coventry
55343,Elton Chigumbura
55346,Graeme Cremer
55353,Michael Chinouya
55354,Chamu Chibhabha
55388,Keith Dabengwa
55391,Terry Duffin
55395,Colin de Grandhomme
55412,Craig Ervine
55416,Dion Ebrahim
55419,Gavin Ewing
55429,Grant Flower
55509,Douglas Hondo
55518,Ryan Higgins
55522,Anthony Ireland
55551,Friday Kasteni
55562,Greg Lamb
55573,Alester Maregwede
55597,Tino Mawoyo
55608,Hamilton Masakadza
55612,Stuart Matsikenyeri
55628,Blessing Mahwire
55633,Chris Mpofu
55641,Forster Mutizwa
55643,Tafadzwa Mufambisi
55652,Tawanda Mupariwa
55663,Mluleki Nkala
55666,John Nyumbu
55669,Ian Nicolson
55698,Ray Price
55705,Tinashe Panyangara
55736,Barney Rogers
55737,Piet Rinke
55740,Ed Rainsford
55761,Heath Streak
55782,Gregory Strydom
55787,Vusi Sibanda
55805,Tatenda Taibu
55814,Brendan Taylor
55820,Prosper Utseya
55822,Mark Vermeulen
55854,Craig Wishart
55870,Sean Williams
55872,Malcolm Waller
55882,Enamul Haque jnr
55883,Elias Sunny
55889,Faisal Hossain
55893,Fazle Mahmud
55894,Farhad Reza
55906,Habibul Bashar
55935,Javed Omar
55944,Jahurul Islam
55946,Zunaed Siddique
55952,Khaled Mahmud
55954,Khaled Mashud
55973,Mohammad Rafique
55988,Mohammad Ashraful
55991,Manzarul Islam
56007,Mashrafe Mortaza
56017,Mosharraf Hossain
56025,Mahmudullah
56029,Mushfiqur Rahim
56031,Mehrab Hossain jnr
56032,Mahbubul Alam
56054,Naeem Islam
56056,Nazmul Hossain
56059,Nazimuddin
56064,Nafees Iqbal
56074,Rajin Saleh
56093,Raqibul Hasan
56138,Sohrawordi Shuvo
56143,Shakib Al Hasan
56149,Shahadat Hossain
56153,Shahriar Nafees
56154,Shamsur Rahman
56160,Syed Rasel
56167,Ziaur Rahman
56176,Tapash Baisya
56186,Tushar Imran
56194,Tamim Iqbal
56208,Dhiman Ghosh
56209,Dolar Mahmud
56251,Alok Kapali
56266,Aftab Ahmed
56268,Arafat Sunny
56283,Abdur Razzak
208252,Skhawat Ali
208253,Irfan Ahmed
208380,Courtney Kruger
208657,Pieter Seelaar
208755,Tyson Gordon
209457,Chamara Kapugedera
210279,Andrew Poynter
210283,Steven Finn
211855,Liam Dawson
212175,Henry Osinde
212756,Sachith Pathirana
213674,Todd Astle
214695,Alexei Kervezee
214696,Eric Szwarczynski
215155,Usman Khawaja
216811,James Celestine
216920,Qaiser Ali
216996,Jacobi Robinson
219885,Tom Cooper
219889,David Warner
220519,Rameez Shahzad
220521,Fahad Alhashmi
220613,Munir Dar
221140,David Wiese
222320,Christiaan Jonker
222354,Milinda Siriwardana
222728,Asad Ali
223642,Rusty Theron
226492,Martin Guptill
226493,Hamish Bennett
227455,Robiul Islam
227712,Ashok Dinda
227758,Imad Wasim
227760,Sarfaraz Ahmed
227762,Sharjeel Khan
227771,Mohammad Talha
227772,Dimuth Karunaratne
228622,John Hastings
229225,Kashif Daud
230193,Matthew Wade
230371,Ben Cutting
230549,Jason Mohammed
230551,Gajanand Singh
230552,Nelon Pascal
230553,Kemar Roach
230555,Shamarh Brooks
230556,Andre McCarthy
230558,Sunil Narine
230559,Kieron Pollard
230852,Dean Elgar
230855,Craig Kieswetter
232285,Peter Forrest
232359,Colin Munro
232364,Tim Southee
232435,Calum MacLeod
232438,Gary Ballance
232442,Prince Masvaure
232443,Keegan Meth
232444,Taurai Muzarabani
232491,Anwar Ali
232730,James Hall
233258,Nisarg Patel
233400,Gyanendra Malla
233514,Thisara Perera
233712,Stephan Myburgh
233802,Ashan Priyanjan
233901,Shan Masood
234675,Ravindra Jadeja
235514,Brian Vitori
235516,Richmond Mutumbami
235519,Tendai Chisoro
235521,Tafadzwa Kamungozi
235524,Timycen Maruma
235532,Cephas Zhuwao
236489,Dawid Malan
236779,Ishant Sharma
237095,Murali Vijay
238612,Nehemiah Odhiambo
240609,Fawad Ahmed
243073,Mohammad Kashif
243942,Dave Langford-Smith
244497,Adil Rashid
244639,Harry Gurney
245166,Mudassar Bukhari
245186,Roger Whelan
245287,Kenny Carroll
245288,Thinus Fourie
245373,Anthony Martin
245397,Mark Jonkman
245490,Ahmed Raza
247008,George O'Brien
247009,Azeem Pitcher
247235,Chris Woakes
248920,Devon Thomas
249866,Alex Hales
252869,Stefan Kelly
252932,Kieran Powell
253802,Virat Kohli
254114,Hiren Varaiya
257574,Malachi Jones
259410,Ahmed Shehzad
259413,Raza-ur-Rehman
259551,Junaid Khan
260036,Tanwir Afzal
260519,Usman Salahuddin
261354,Nathan Coulter-Nile
265564,Wayne Parnell
267192,Steven Smith
